Gm#,Date,Day,Date,Tm,H/A,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,,
92,Monday Jul 18,Mon,Jul 18,COL,H,TBR,W,7,4,,43-49,3,13.5,Anderson,Smyly,Estevez,3:12,N,30601,+,,
93,Tuesday Jul 19,Tue,Jul 19,COL,H,TBR,L,1,10,,43-50,3,13.5,Snell,Chatwood,Andriese,2:54,N,33061,-,,
94,Wednesday Jul 20,Wed,Jul 20,COL,H,TBR,L,3,11,,43-51,3,13.5,Archer,De La Rosa,,3:27,D,31456,--,,
95,Thursday Jul 21,Thu,Jul 21,COL,H,ATL,W,7,3,,44-51,3,13,Bettis,Foltynewicz,Estevez,3:04,N,36527,+,,
96,Friday Jul 22,Fri,Jul 22,COL,H,ATL,W,4,3,,45-51,3,12,Gray,De La Cruz,Estevez,3:18,N,35880,++,,
97,Saturday Jul 23,Sat,Jul 23,COL,H,ATL,W,8,4,,46-51,3,12,Anderson,Wisler,,3:02,N,46195,+++,,
98,Sunday Jul 24,Sun,Jul 24,COL,H,ATL,W,7,2,,47-51,3,11,Chatwood,Jenkins,,2:56,D,34695,++++,,
99,Monday Jul 25,Mon,Jul 25,COL,A,BAL,L-wo,2,3,10,47-52,3,11,Roe,Lyles,,3:14,N,19361,-,,
100,Tuesday Jul 26,Tue,Jul 26,COL,A,BAL,W,6,3,,48-52,3,11,Bettis,Tillman,Estevez,2:44,N,23677,+,,
101,Wednesday Jul 27,Wed,Jul 27,COL,A,BAL,W,3,1,,49-52,3,10,Gray,Bundy,Estevez,2:48,N,20324,++,,
102,Thursday Jul 28,Thu,Jul 28,COL,A,NYM,W,2,1,,50-52,3,9,Lyles,Familia,Estevez,3:13,D,38292,+++,,
103,Friday Jul 29,Fri,Jul 29,COL,A,NYM,W,6,1,,51-52,3,8,Chatwood,Matz,,3:07,N,40035,++++,,
104,Saturday Jul 30,Sat,Jul 30,COL,A,NYM,W,7,2,,52-52,3,8,De La Rosa,Colon,,3:09,N,42207,+++++,,
105,Sunday Jul 31,Sun,Jul 31,COL,A,NYM,L,4,6,,52-53,3,9,Blevins,Logan,Familia,3:06,D,36279,-,,
106,Tuesday Aug 2,Tue,Aug 2,COL,H,LAD,W,7,3,,53-53,3,8,Gray,McCarthy,,3:28,N,32607,+,,
107,Wednesday Aug 3,Wed,Aug 3,COL,H,LAD,W,12,2,,54-53,3,7,Anderson,Stewart,,2:31,N,28682,++,,
108,Thursday Aug 4,Thu,Aug 4,COL,H,LAD,L,2,4,,54-54,3,8,Maeda,Chatwood,Jansen,3:08,N,31117,-,,
109,Friday Aug 5,Fri,Aug 5,COL,H,MIA,L,3,5,,54-55,3,8,Ellington,Estevez,Ramos,3:24,N,27888,--,,
110,Saturday Aug 6,Sat,Aug 6,COL,H,MIA,W,12,6,,55-55,3,8,Bettis,Cashner,,3:25,N,37699,+,,
111,Sunday Aug 7,Sun,Aug 7,COL,H,MIA,L,7,10,,55-56,3,8,Conley,Gray,Rodney,3:29,D,40875,-,,
112,Monday Aug 8,Mon,Aug 8,COL,H,TEX,L,3,4,,55-57,3,9,Kela,Estevez,Diekman,3:04,N,31768,--,,
113,Tuesday Aug 9,Tue,Aug 9,COL,H,TEX,L,5,7,,55-58,3,9,Claudio,Oberg,Dyson,3:14,D,27671,---,,
114,Wednesday Aug 10,Wed,Aug 10,COL,A,TEX,L,4,5,,55-59,3,10,Diekman,Logan,Bush,3:27,N,29866,----,,
115,Thursday Aug 11,Thu,Aug 11,COL,A,TEX,W,12,9,,56-59,3,9.5,Oberg,Diekman,Ottavino,4:03,D,20720,+,,
116,Friday Aug 12,Fri,Aug 12,COL,A,PHI,L,6,10,,56-60,3,9.5,Thompson,Gray,,3:25,N,23600,-,,
117,Saturday Aug 13,Sat,Aug 13,COL,A,PHI,L,3,6,,56-61,3,10.5,Eickhoff,Anderson,Gomez,3:20,N,23203,--,,
118,Sunday Aug 14,Sun,Aug 14,COL,A,PHI,L,6,7,,56-62,3,10.5,Gonzalez,Chatwood,Gomez,3:33,D,20068,---,,
119,Monday Aug 15,Mon,Aug 15,COL,H,WSN,L,4,5,,56-63,3,10.5,Solis,Lyles,Melancon,3:26,N,27818,----,,
120,Tuesday Aug 16,Tue,Aug 16,COL,H,WSN,W,6,2,,57-63,3,10,Rusin,Petit,,2:54,N,29209,+,,
121,Wednesday Aug 17,Wed,Aug 17,COL,H,WSN,W,12,10,,58-63,3,10,Logan,Strasburg,Oberg,3:52,D,25308,++,,
122,Friday Aug 19,Fri,Aug 19,COL,H,CHC,W-wo,7,6,11,59-63,3,9,Carasiti,Chapman,,3:47,N,43950,+++,,
123,Saturday Aug 20,Sat,Aug 20,COL,H,CHC,L,2,9,,59-64,3,9,Cahill,Hoffman,,3:05,N,48113,-,,
124,Sunday Aug 21,Sun,Aug 21,COL,H,CHC,W,11,4,,60-64,3,8.5,De La Rosa,Hammel,,3:00,D,46206,+,,
125,Monday Aug 22,Mon,Aug 22,COL,A,MIL,L,2,4,,60-65,3,9.5,Nelson,Bettis,Thornburg,2:54,N,20458,-,,
126,Tuesday Aug 23,Tue,Aug 23,COL,A,MIL,L,4,6,,60-66,3,10.5,Suter,Logan,Knebel,3:29,N,21460,--,,
127,Wednesday Aug 24,Wed,Aug 24,COL,A,MIL,L,1,7,,60-67,3,11.5,Davies,Anderson,,3:01,D,26702,---,,
128,Friday Aug 26,Fri,Aug 26,COL,A,WSN,L,5,8,,60-68,3,11,Gonzalez,Hoffman,,3:04,N,33433,----,,
129,Saturday Aug 27,Sat,Aug 27,COL,A,WSN,W,9,4,11,61-68,3,11,McGee,Petit,,4:49,D,27901,+,,
130,Sunday Aug 28,Sun,Aug 28,COL,A,WSN,W,5,3,,62-68,3,11,Bettis,Giolito,Ottavino,2:52,D,28124,++,,
131,Monday Aug 29,Mon,Aug 29,COL,H,LAD,W,8,1,,63-68,3,10,Gray,Maeda,,3:36,N,24308,+++,,
132,Wednesday Aug 31 (1),Wed,Aug 31 (1),COL,H,LAD,W,7,0,,64-68,3,10,Anderson,Stripling,,2:55,D,24790,++++,,
